day,S,L,A,R
162,8474.242210882547,1250.8368528913445,87.46643113843807,187.45450508767541
163,8455.711917812832,1265.8370998888677,88.372484276477,190.07849802182855
164,8437.030611100248,1280.9567083346303,89.28300801500352,192.72967255012287
165,8418.198524308405,1296.1954080826954,90.19790481833054,195.408162790573
166,8399.21592757747,1311.5528980591403,91.11707442827041,198.1140999351229
167,8380.083128007165,1327.0288459550638,92.04041386980349,200.84761216797102
168,8360.800470023038,1342.6228879340001,92.96781745890168,203.60882458406513
169,8341.368335725352,1358.334628354272,93.89917681254778,206.39785910783218
170,8321.78714521998,1374.1636395068251,94.83438086098964,209.2148344122086
171,8302.057356930633,1390.1094613690661,95.77331586226609,212.0598658380383
172,8282.179467891834,1406.171601375224,96.71586541903943,214.93306531390627
173,8262.15401402201,1422.3495342037493,97.66191049776698,217.83454127647744
174,8241.981570376105,1438.642701582246,98.61132945024193,220.76439859141044
175,8221.662751377125,1455.0505121104293,99.56399803753094,223.7227384749177
176,8201.198211026041,1471.5723411015845,100.51978945633384,226.70965841604362
177,8180.588643089492,1488.2075304429911,101.47857436778727,229.72525209973364
178,8159.834781264741,1504.9553884757636,102.44022092873209,232.76960933076725
179,8138.937399321373,1521.8151898945407,103.40459482546076,235.84281595862922
180,8117.897311219208,1538.7861756674447,104.37155930995847,238.94495380339305
181,8096.715371201956,1555.867552976708,105.34097523864793,242.0761005826918
182,8075.392473866152,1573.0584951803557,106.31270111364513,245.23632983985124
183,8053.929554204914,1590.3581417952996,107.28659312652968,248.42571087326058
184,8032.327587626121,1607.7655985021963,108.2625052046299,251.64430866705646
185,8010.587589944605,1625.2799371723843,109.24028905981982,254.89218382319535
186,7988.710617347991,1642.9001959172026,110.21979423982073,258.16939249498995
187,7966.697766335851,1660.6253791599706,111.20086818199731,261.47598632218455
188,7944.550173631848,1678.4544577308773,112.18335626963385,264.81201236764446
189,7922.269016068585,1696.3863689850125,113.16710189067282,268.17751305573347
190,7899.855510444916,1714.4200169437402,114.15194649889398,271.57252611245366
191,7877.3109133554835,1732.5542724595914,115.13772967750828,274.9970845074205
192,7854.636520992293,1750.7879734048272,116.12428920513733,278.4512163977457
193,7831.83366891817,1769.1199248837893,117.11146112414464,281.9349450738998
194,7808.903731811963,1787.5488994691348,118.09907981128161,285.44828890762415
195,7785.848123185416,1806.073637462018,119.08697805060667,288.9912613019626
196,7762.668295071638,1824.6928471762526,120.07498710863246,292.5638706434808
197,7739.365737685155,1843.4052052464574,121.06293681165167,296.16612025673976
198,7715.941979053564,1862.2093569601618,122.05065562518863,299.79800836108933
